Frequency,key size,data self life,migration,vendor supply time,Algo,App_type,Application,Data Sensisitivity,arch flexibility,data trans(algo),is third party quantum safe,third party used,vendor pqc compliant
99245,0,10,2,6,DES,web,C,LOW,YES,RSA,,YES,YES
909140,256,8,3,9,ECDHE,MIX,A,MEDIUM,,RSA,NO,YES,
108723,525,9,1,6,ECDHE,web,A,HIGH,YES,RSA,,NO,NO
5623632,1297,8,2,9,RSA,web,C,LOW,YES,RSA,YES,YES,NO
67441,0,9,2,9,DES,MIX,B,HIGH,NO,RSA,NO,YES,NO
123474,104,8,2,6,RSA,web,A,HIGH,YES,RSA,,YES,NO
185,1982,10,1,6,AES,web,A,HIGH,,RSA,,NO,YES
2019,2048,9,2,9,RSA,MIX,B,HIGH,YES,RSA,,NO,
89225,2048,9,2,6,RSA,web,A,HIGH,,RSA,,NO,YES
123460,256,8,2,6,RSA,MIX,A,HIGH,YES,RSA,,NO,NO
92905,2048,9,2,6,RSA,web,B,HIGH,,RSA,,YES,YES
37367,0,7,2,9,ECDHE,STANDALONE,B,HIGH,YES,RSA,YES,YES,NO
7991906,0,8,2,12,RSA,STANDALONE,D,MEDIUM,YES,RSA,YES,YES,
97239,1014,10,2,8,RSA,web,A,HIGH,YES,RSA,,NO,YES
946601,256,9,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
88300,165,10,2,6,AES,web,A,HIGH,NO,RSA,,YES,YES
4386,527,10,2,9,RSA,STANDALONE,C,MEDIUM,YES,RSA,,YES,
91300,218,9,2,9,RSA,MIX,C,HIGH,YES,RSA,NO,YES,NO
8037,1024,10,2,6,RSA,MIX,A,HIGH,NO,RSA,NO,YES,NO
955126,256,9,3,12,ECDHE,web,C,MEDIUM,YES,RSA,NO,YES,NO
950988,1024,8,2,3,AES,web,C,HIGH,,RSA,,YES,NO
123466,209,10,3,9,RSA,MIX,C,MEDIUM,YES,RSA,YES,NO,
2537,1820,8,2,8,AES,MIX,B,LOW,NO,RSA,,YES,YES
7833507,144,9,2,7,ECDHE,web,A,MEDIUM,YES,RSA,YES,YES,YES
9890685,0,8,2,9,ECDHE,STANDALONE,D,MEDIUM,YES,RSA,YES,YES,
87551,2244,8,2,1,RSA,web,D,HIGH,YES,RSA,,YES,NO
70402,0,10,3,9,RSA,STANDALONE,B,MEDIUM,YES,RSA,NO,YES,NO
9966279,0,7,1,11,ECDHE,web,B,MEDIUM,YES,RSA,NO,NO,NO
93030,2375,10,2,11,RSA,web,A,HIGH,YES,RSA,YES,NO,NO
801137,124,9,2,9,RSA,STANDALONE,C,LOW,YES,RSA,NO,NO,
69564,2048,9,2,12,RSA,MIX,A,LOW,YES,RSA,YES,NO,
832,28,10,2,1,AES,web,B,HIGH,NO,RSA,,NO,YES
69430,0,7,2,10,ECDHE,MIX,C,LOW,NO,RSA,NO,YES,NO
316260,126,7,2,6,ECDHE,STANDALONE,C,HIGH,,RSA,,NO,NO
88722,1024,8,3,6,ECDHE,MIX,C,HIGH,NO,RSA,NO,YES,NO
99612,949,8,2,1,AES,web,A,HIGH,,RSA,,NO,NO
93074,1024,10,1,6,RSA,web,C,HIGH,YES,RSA,,NO,YES
570,2119,8,1,9,RSA,web,A,HIGH,NO,RSA,,YES,YES
66853,1024,10,1,4,RSA,MIX,A,HIGH,YES,RSA,,NO,YES
662334,856,8,2,9,AES,web,C,MEDIUM,YES,RSA,,YES,
123463,861,9,2,1,RSA,web,A,HIGH,YES,RSA,,NO,YES
5695,2048,9,2,12,RSA,MIX,B,MEDIUM,YES,RSA,NO,YES,YES
2024,163,10,2,9,RSA,MIX,A,LOW,YES,RSA,NO,NO,
3698,0,9,2,1,RSA,web,D,HIGH,,RSA,,NO,NO
7625,254,8,2,9,AES,MIX,C,HIGH,,RSA,NO,YES,NO
32432,0,7,2,1,RSA,MIX,D,HIGH,,RSA,,NO,NO
9896978,0,9,3,9,RSA,MIX,B,MEDIUM,YES,RSA,YES,YES,
4300,0,9,3,12,ECDHE,STANDALONE,B,LOW,YES,RSA,YES,YES,
89861,2048,7,2,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
10000000,0,10,2,9,ECDHE,web,A,LOW,YES,RSA,YES,YES,
8016,0,8,2,6,ECDHE,web,D,MEDIUM,,RSA,NO,YES,NO
8068,1078,9,2,4,RSA,web,B,HIGH,NO,RSA,NO,NO,YES
59978,101,8,2,9,ECDHE,MIX,D,HIGH,NO,RSA,YES,YES,
4373,241,9,1,6,RSA,web,A,HIGH,NO,RSA,YES,NO,NO
9959667,171,8,1,9,ECDHE,MIX,D,HIGH,YES,RSA,YES,NO,
123460,1445,10,2,10,RSA,web,C,HIGH,YES,RSA,NO,NO,
6982,0,10,2,9,ECDHE,MIX,B,HIGH,NO,RSA,NO,YES,YES
99943,248,8,2,9,ECDHE,MIX,A,MEDIUM,YES,RSA,YES,YES,NO
888,0,7,3,6,AES,MIX,D,MEDIUM,,RSA,NO,YES,NO
2425,1024,8,2,9,ECDHE,STANDALONE,A,MEDIUM,NO,RSA,,YES,NO
449,0,10,1,9,ECDHE,web,B,LOW,NO,RSA,NO,YES,YES
881309,0,8,2,12,ECDHE,MIX,C,MEDIUM,NO,RSA,YES,YES,NO
4662,0,9,1,3,AES,web,A,HIGH,,RSA,,NO,NO
899148,1024,9,2,6,RSA,web,B,MEDIUM,YES,RSA,YES,YES,YES
76582,0,9,1,9,RSA,web,B,HIGH,,RSA,,YES,YES
879,185,10,2,10,ECDHE,MIX,B,MEDIUM,NO,RSA,,YES,
1192,2048,9,1,6,RSA,web,A,HIGH,,RSA,,NO,NO
6901253,0,8,2,12,ECDHE,STANDALONE,C,LOW,NO,RSA,YES,YES,
9958166,0,7,2,12,ECDHE,web,C,MEDIUM,YES,RSA,YES,YES,NO
102211,0,7,3,12,ECDHE,STANDALONE,C,MEDIUM,NO,RSA,NO,YES,
123467,1572,8,1,6,AES,web,C,HIGH,YES,RSA,NO,NO,
4279,249,8,2,6,DES,web,D,LOW,,RSA,,YES,YES
5404,0,8,2,6,AES,web,B,MEDIUM,NO,RSA,NO,YES,NO
3056,1745,10,1,9,RSA,web,A,HIGH,NO,RSA,,NO,YES
450868,10,8,1,3,AES,web,B,HIGH,NO,RSA,,NO,NO
9920,3656,10,1,6,AES,web,A,HIGH,YES,RSA,,NO,YES
9987,3357,8,3,4,AES,MIX,D,HIGH,,RSA,YES,NO,NO
557149,0,8,3,6,RSA,web,B,MEDIUM,NO,RSA,YES,YES,NO
9965863,211,7,3,12,RSA,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
121016,256,9,2,5,RSA,web,D,HIGH,,RSA,,NO,NO
89227,0,8,2,8,ECDHE,web,C,MEDIUM,NO,RSA,YES,YES,NO
2161,0,8,3,6,AES,MIX,C,HIGH,NO,RSA,NO,YES,NO
950913,0,10,3,12,ECDHE,STANDALONE,C,MEDIUM,YES,RSA,YES,YES,
