Application,App_type,Algo,Frequency,key size,Data Sensisitivity,arch flexibility,third party used,is third party quantum safe,data trans(algo),data self life,migration,vendor pqc compliant,vendor supply time
B,MIX,AES,2015625,0,MEDIUM,YES,YES,,RSA,10,3,,10
B,web,RSA,4470008,1417,LOW,,YES,,RSA,10,3,,1
D,STANDALONE,RSA,8813597,0,LOW,,YES,NO,RSA,10,3,NO,6
D,MIX,ECDHE,9511258,4096,MEDIUM,NO,YES,,RSA,10,3,,6
A,STANDALONE,ECDHE,2807861,1094,LOW,YES,YES,NO,RSA,8,3,NO,1
B,STANDALONE,RSA,12721518,1517,LOW,YES,YES,NO,RSA,10,2,NO,12
B,MIX,RSA,14211769,1796,HIGH,YES,NO,,RSA,9,1,YES,1
A,MIX,RSA,4653959,1347,LOW,,YES,,RSA,10,3,YES,4
B,STANDALONE,AES,14504056,0,MEDIUM,NO,NO,YES,RSA,10,3,,8
B,web,AES,10151142,154,LOW,YES,NO,,RSA,10,3,,5
B,web,RSA,5235798,352,HIGH,NO,NO,,RSA,10,3,NO,12
B,web,ECDHE,3282193,0,LOW,NO,NO,,RSA,10,3,,10
A,MIX,ECDHE,1889579,0,HIGH,YES,YES,YES,RSA,10,3,NO,6
B,MIX,ECDHE,13942983,3706,MEDIUM,NO,YES,YES,RSA,10,2,,12
C,web,ECDHE,10545518,575,HIGH,,NO,,RSA,10,3,,7
B,STANDALONE,AES,2102125,0,HIGH,,YES,,RSA,10,3,,7
C,STANDALONE,ECDHE,3195183,1442,LOW,NO,YES,,RSA,10,1,NO,11
D,MIX,ECDHE,8173785,1388,HIGH,YES,YES,,RSA,10,2,NO,3
B,MIX,ECDHE,11512233,2141,LOW,YES,YES,NO,RSA,10,2,,2
B,STANDALONE,ECDHE,11505406,1016,HIGH,NO,YES,NO,RSA,7,3,YES,5
B,STANDALONE,ECDHE,11205054,411,MEDIUM,NO,NO,NO,RSA,9,2,YES,12
A,STANDALONE,DES,10567947,1654,HIGH,NO,YES,,RSA,7,3,,5
B,STANDALONE,DES,4933646,4096,LOW,YES,YES,YES,RSA,10,3,,12
B,MIX,DES,979316,0,LOW,NO,NO,,RSA,10,3,,1
A,web,AES,13484286,0,LOW,,YES,,RSA,10,3,,6
B,web,ECDHE,5447806,1977,HIGH,,YES,YES,RSA,8,3,NO,1
C,MIX,AES,8216552,2461,HIGH,,YES,,RSA,10,1,,3
C,web,RSA,13463716,153,HIGH,NO,YES,,RSA,7,1,,4
D,web,ECDHE,7115318,71,LOW,,YES,NO,RSA,9,3,YES,12
C,STANDALONE,ECDHE,15612148,0,HIGH,NO,YES,NO,RSA,10,3,,12
B,MIX,AES,4780273,2386,HIGH,NO,NO,NO,RSA,9,3,YES,1
C,web,ECDHE,10196617,0,LOW,YES,NO,NO,RSA,10,1,,1
C,web,ECDHE,10479293,1879,LOW,,YES,,RSA,10,3,NO,1
C,STANDALONE,ECDHE,8375136,1356,LOW,YES,YES,,RSA,10,3,,4
C,web,ECDHE,8173749,4096,LOW,,YES,,RSA,7,3,NO,8
C,MIX,RSA,14926638,791,LOW,,NO,YES,RSA,9,2,NO,1
B,STANDALONE,DES,13506424,546,LOW,YES,YES,,RSA,9,3,YES,1
D,MIX,ECDHE,52847,2841,LOW,YES,YES,,RSA,9,1,YES,1
D,web,ECDHE,1285834,1616,LOW,,NO,NO,RSA,10,1,YES,3
D,STANDALONE,ECDHE,5520120,1859,LOW,YES,YES,,RSA,9,3,,1
A,MIX,AES,10875604,970,LOW,YES,YES,,RSA,10,3,,1
B,web,ECDHE,2229962,1644,LOW,,NO,,RSA,10,2,YES,5
B,web,ECDHE,9969195,0,LOW,NO,NO,,RSA,9,3,NO,3
C,web,ECDHE,4428307,2043,MEDIUM,,YES,YES,RSA,7,3,,8
B,STANDALONE,RSA,11146443,822,LOW,NO,YES,YES,RSA,10,3,,8
A,MIX,ECDHE,4218618,242,MEDIUM,,YES,,RSA,10,3,,12
B,MIX,ECDHE,11977430,0,LOW,NO,NO,,RSA,9,2,NO,5
C,STANDALONE,AES,15298623,3557,MEDIUM,YES,YES,NO,RSA,10,3,,12
B,web,DES,14713159,0,LOW,YES,YES,,RSA,8,3,NO,7
C,STANDALONE,ECDHE,14690303,447,MEDIUM,,YES,,RSA,10,3,YES,12
A,MIX,ECDHE,15827070,0,HIGH,NO,YES,,RSA,10,3,NO,4
C,MIX,RSA,3689315,4096,LOW,YES,YES,YES,RSA,10,3,NO,5
D,web,RSA,7518685,960,MEDIUM,YES,YES,,RSA,9,3,YES,11
B,web,AES,11062475,0,MEDIUM,,YES,,RSA,10,3,,1
B,web,RSA,3824195,3827,MEDIUM,,NO,,RSA,10,3,YES,1
B,MIX,ECDHE,10822616,0,HIGH,NO,YES,,RSA,10,2,,3
A,web,RSA,14833610,0,MEDIUM,NO,YES,,RSA,10,3,,1
C,MIX,AES,1520626,1164,HIGH,NO,YES,,RSA,10,3,,12
D,web,ECDHE,1718111,0,LOW,NO,YES,YES,RSA,9,3,,10
C,STANDALONE,AES,14557403,3694,HIGH,NO,YES,NO,RSA,9,3,YES,1
A,MIX,RSA,13466541,2208,HIGH,YES,YES,,RSA,10,3,NO,8
B,MIX,ECDHE,5102244,2320,LOW,NO,NO,NO,RSA,10,2,,1
A,web,RSA,15242519,256,LOW,,YES,,RSA,9,3,,7
C,MIX,ECDHE,2356958,2315,HIGH,,YES,,RSA,9,2,,12
D,MIX,DES,12682025,258,MEDIUM,NO,YES,,RSA,10,3,NO,4
A,MIX,RSA,11529029,2995,HIGH,YES,YES,,RSA,10,2,NO,4
A,MIX,RSA,9583095,0,LOW,NO,NO,YES,RSA,10,3,,1
B,STANDALONE,RSA,15100131,1473,LOW,YES,NO,,RSA,10,3,NO,4
D,STANDALONE,DES,9907856,975,MEDIUM,YES,YES,,RSA,10,3,,5
D,MIX,AES,2929351,1428,MEDIUM,,YES,,RSA,10,2,,11
C,web,ECDHE,16181764,3459,LOW,,YES,YES,RSA,7,3,,12
B,MIX,RSA,1142297,1265,LOW,YES,NO,NO,RSA,10,2,,1
B,STANDALONE,AES,263921,4096,MEDIUM,,YES,,RSA,10,2,,3
C,web,ECDHE,9668275,332,HIGH,,YES,,RSA,10,3,,1
B,web,ECDHE,1523527,586,HIGH,YES,YES,,RSA,10,3,NO,9
A,MIX,RSA,9896119,0,LOW,YES,YES,YES,RSA,8,3,,1
A,web,ECDHE,15072545,596,LOW,NO,YES,YES,RSA,10,3,YES,4
B,MIX,RSA,2926688,585,HIGH,NO,YES,,RSA,10,3,,1
C,STANDALONE,ECDHE,30092,1544,MEDIUM,NO,YES,,RSA,7,2,YES,3
A,MIX,RSA,12951583,491,LOW,YES,NO,YES,RSA,10,2,,9
B,STANDALONE,RSA,14042602,875,HIGH,YES,YES,,RSA,10,3,NO,12
A,web,RSA,6923554,0,LOW,,NO,,RSA,10,3,,1
A,web,AES,12082793,3592,LOW,YES,YES,,RSA,10,2,,4
B,web,RSA,11820229,1272,LOW,NO,NO,YES,RSA,10,1,NO,1
D,MIX,RSA,6340062,1653,LOW,YES,YES,,RSA,7,1,YES,1
D,web,ECDHE,12846563,4096,MEDIUM,YES,YES,,RSA,9,3,,4
D,STANDALONE,ECDHE,10192279,0,MEDIUM,NO,YES,,RSA,8,3,,4
D,web,ECDHE,3985922,4096,HIGH,YES,YES,,RSA,7,2,NO,1
B,STANDALONE,DES,14686406,0,MEDIUM,YES,YES,,RSA,9,1,,6
B,web,ECDHE,3160750,0,HIGH,NO,YES,,RSA,10,2,,10
C,STANDALONE,RSA,3177172,800,MEDIUM,YES,YES,NO,RSA,8,3,NO,12
A,web,RSA,3708774,1844,HIGH,YES,YES,NO,RSA,7,1,,2
B,web,ECDHE,13076518,1445,LOW,YES,YES,NO,RSA,10,3,NO,3
C,web,RSA,5768933,641,MEDIUM,YES,YES,,RSA,8,2,YES,1
A,STANDALONE,ECDHE,11078768,4096,HIGH,YES,NO,,RSA,10,3,YES,5
C,web,RSA,14369435,1601,LOW,NO,YES,,RSA,10,2,NO,5
C,MIX,ECDHE,4536980,4096,HIGH,YES,YES,,RSA,7,2,,3
C,web,RSA,12241927,3853,HIGH,YES,NO,,RSA,10,3,YES,8
B,web,AES,478410,0,HIGH,,YES,YES,RSA,10,2,,3
B,MIX,ECDHE,9133762,0,MEDIUM,YES,YES,,RSA,10,3,,6
B,STANDALONE,RSA,8576883,167,LOW,YES,YES,YES,RSA,7,3,,6
A,web,RSA,2508938,0,LOW,,YES,,RSA,10,3,,1
A,STANDALONE,RSA,4998833,1009,MEDIUM,NO,YES,,RSA,9,3,,1
B,web,RSA,14878258,103,MEDIUM,YES,YES,,RSA,10,3,NO,1
A,web,DES,2086673,1258,HIGH,NO,NO,,RSA,10,3,NO,5
D,web,RSA,7965698,2858,LOW,NO,YES,YES,RSA,10,3,NO,1
A,MIX,ECDHE,13861352,752,MEDIUM,,YES,YES,RSA,10,3,,3
A,web,ECDHE,2298823,2139,LOW,YES,YES,,RSA,10,1,,1
C,STANDALONE,RSA,13928607,1209,MEDIUM,,NO,,RSA,7,3,,1
D,MIX,ECDHE,1107031,0,HIGH,YES,NO,NO,RSA,10,3,NO,8
B,web,ECDHE,5845987,0,MEDIUM,NO,YES,,RSA,10,3,,6
A,MIX,ECDHE,13545552,0,HIGH,NO,YES,YES,RSA,9,2,,1
A,MIX,ECDHE,4562225,2922,LOW,NO,YES,,RSA,10,3,NO,3
C,MIX,RSA,5756401,1261,LOW,YES,YES,YES,RSA,10,3,NO,11
B,web,RSA,7362649,3230,LOW,,YES,NO,RSA,10,3,NO,1
C,web,RSA,9486547,0,MEDIUM,YES,NO,,RSA,9,1,YES,5
D,web,DES,1875896,1791,HIGH,YES,YES,NO,RSA,10,3,,12
B,MIX,AES,411627,3559,LOW,NO,NO,YES,RSA,10,3,NO,1
B,web,DES,8653189,4096,MEDIUM,YES,YES,,RSA,7,2,,12
C,MIX,RSA,9569978,2347,LOW,YES,YES,,RSA,9,2,,7
B,web,RSA,16762675,3741,HIGH,NO,NO,,RSA,10,3,,5
D,MIX,RSA,6771944,0,MEDIUM,NO,NO,YES,RSA,10,3,,9
A,web,AES,2992583,0,LOW,YES,YES,NO,RSA,10,3,,10
C,MIX,ECDHE,5598006,1705,LOW,YES,YES,YES,RSA,7,3,,12
D,web,ECDHE,3867704,0,HIGH,YES,YES,YES,RSA,10,1,,11
A,web,RSA,8145979,1496,HIGH,YES,NO,,RSA,7,2,NO,1
B,web,RSA,14705394,4096,MEDIUM,NO,YES,NO,RSA,10,3,YES,3
C,MIX,AES,14908397,1009,MEDIUM,NO,NO,,RSA,9,1,YES,1
B,STANDALONE,ECDHE,14010610,113,HIGH,NO,YES,,RSA,7,3,NO,4
D,STANDALONE,DES,12664522,493,MEDIUM,NO,NO,NO,RSA,10,3,NO,5
C,MIX,RSA,10054266,2063,MEDIUM,NO,YES,,RSA,9,3,NO,9
B,web,RSA,13181258,0,LOW,NO,YES,YES,RSA,10,3,NO,7
D,STANDALONE,AES,8559462,142,LOW,YES,YES,,RSA,8,3,,12
D,MIX,ECDHE,7047698,2665,HIGH,,YES,,RSA,10,3,NO,6
C,MIX,ECDHE,2344201,2416,LOW,,YES,NO,RSA,7,3,YES,10
A,MIX,ECDHE,3207328,1652,LOW,YES,YES,,RSA,9,2,YES,3
C,STANDALONE,ECDHE,10214782,1868,HIGH,,NO,,RSA,8,3,NO,1
B,web,RSA,1736129,937,HIGH,YES,YES,NO,RSA,8,3,,7
D,STANDALONE,ECDHE,15225219,2034,MEDIUM,NO,YES,,RSA,8,1,YES,12
C,MIX,ECDHE,10069886,1026,HIGH,,YES,,RSA,9,3,,2
C,STANDALONE,ECDHE,14976886,1280,LOW,YES,YES,NO,RSA,10,3,,3
C,web,ECDHE,3282100,0,HIGH,NO,YES,,RSA,10,3,NO,7
B,web,RSA,15696791,665,LOW,,NO,NO,RSA,10,3,YES,1
A,web,ECDHE,12844211,2188,HIGH,,YES,,RSA,7,3,,8
D,web,RSA,12687057,3877,MEDIUM,,YES,NO,RSA,7,2,,4
C,web,AES,16381645,0,HIGH,YES,YES,YES,RSA,10,3,YES,1
B,web,ECDHE,8583951,4096,LOW,,NO,,RSA,7,3,NO,5
D,web,AES,5062890,3245,HIGH,YES,NO,YES,RSA,7,3,,2
D,web,RSA,11822004,0,LOW,YES,YES,,RSA,10,2,,12
B,MIX,RSA,12876091,0,MEDIUM,,YES,YES,RSA,8,2,,5
B,web,ECDHE,8042015,1925,HIGH,,YES,NO,RSA,10,2,,7
C,STANDALONE,RSA,14488929,3743,MEDIUM,NO,NO,YES,RSA,10,3,,1
C,STANDALONE,RSA,9203986,710,HIGH,,YES,YES,RSA,10,3,,12
C,web,RSA,7736121,242,MEDIUM,,YES,,RSA,10,3,,8
A,web,ECDHE,4123405,4096,HIGH,YES,YES,YES,RSA,8,1,,12
B,STANDALONE,DES,5396632,1777,MEDIUM,NO,YES,,RSA,10,1,NO,3
